Kd_Prov,Provinsi,Luas_Total_TPA,Kapasitas_TPA,Sampah_Masuk_TPA
11,Aceh,405,5401462,1854507
12,Sumatera Utara,485,11928008,7153386
13,Sumatera Barat,296,4671341,3563865
14,Riau,428,7637021,4995943
15,Jambi,683,19264905,4555281
16,Sumatera Selatan,5735,134256538,47192453
17,Bengkulu,505,3031339,45800320
18,Lampung,678,10087705,6879307
19,Kepulauan Bangka Belitung,940,6188813,4333133
21,Kepulauan Riau,1016,20701068,202446837
31,DKI Jakarta,5830,455829150,98945448
32,Jawa Barat,3348,10691967,104126633
33,Jawa Tengah,4705,227381433,95220407
34,D.I. Yogyakarta,252,15816570,26255189
35,Jawa Timur,5110,206223705,124449350
36,Banten,3448,50855108,117433280
51,Bali,261,3513390,112873276
52,Nusa Tenggara Barat,376,10090420,4313668
53,Nusa Tenggara Timur,266,6949904,640112
61,Kalimantan Barat,3340,246115980,22686025
62,Kalimantan Tengah,6729,119394003,25847806
63,Kalimantan Selatan,1660,6203244,10620950
64,Kalimantan Timur,4117,102402388,104195896
65,Kalimantan Utara,1965,119977956,15245714
71,Sulawesi Utara,3493,91982911,32017939
72,Sulawesi Tengah,1611,22969701,18856324
73,Sulawesi Selatan,2559,53042574,43049480
74,Sulawesi Tenggara,3557,111373626,17417745
75,Gorontalo,1839,26092500,4409257
76,Sulawesi Barat,1413,18954791,25434671
81,Maluku,3594,139098561,251953343
82,Maluku Utara,3042,68972891,9711173
91,Papua Barat,1750,43307250,5147843
94,Papua,4089,70705270,9067347
